dataset;column;timeseries;coltype;timeseries_agg
spender_postmortem_labor_mikrobiologie;pathogen_1;True;feature;latest
spender_postmortem_labor_mikrobiologie;pathogen_2;True;feature;latest
spender_postmortem_labor_mikrobiologie;pathogen_3;True;feature;latest
spender_postmortem_labor_mikrobiologie;pathogen_present;True;feature;latest
spender_postmortem_labor_mikrobiologie;result_date;True;metadata;latest
spender_postmortem_labor_mikrobiologie;sampling_date;True;metadata;latest
spender_postmortem_labor_mikrobiologie;sampling_tissue;True;metadata;latest
spender_postmortem_labor_mikrobiologie;taking_antibiotics;True;feature;latest
spender_postmortem_labor_mikrobiologie;test_comment;True;feature;keep
spender_postmortem_labor_mikrobiologie;text_pathogen_count;True;feature;keep
spender_postmortem_labor_pathologie;comment;True;metadata;keep
spender_postmortem_labor_pathologie;communicated_date;True;metadata;latest
spender_postmortem_labor_pathologie;examed_location;True;metadata;latest
spender_postmortem_labor_pathologie;examination_date;True;metadata;latest
spender_postmortem_labor_pathologie;organ;True;feature;keep
spender_postmortem_labor_pathologie;quality;True;feature;keep
spender_postmortem_labor_pathologie;result_date;True;metadata;keep
spender_postmortem_labor_pathologie;sampling_date;True;metadata;keep
spender_postmortem_labor_pathologie;sampling_tissue;True;metadata;keep
spender_postmortem_labor_toxikologie;abs_test;True;feature;latest
spender_postmortem_labor_toxikologie;ads_test;True;feature;latest
spender_postmortem_labor_toxikologie;ams_test;True;feature;latest
spender_postmortem_labor_toxikologie;bds_test;True;feature;latest
spender_postmortem_labor_toxikologie;bdu_test;True;feature;latest
spender_postmortem_labor_toxikologie;bts_test;True;feature;latest
spender_postmortem_labor_toxikologie;btu_test;True;feature;latest
spender_postmortem_labor_toxikologie;communicated_date;True;metadata;latest
spender_postmortem_labor_toxikologie;dss_test;True;feature;latest
spender_postmortem_labor_toxikologie;examination_date;True;metadata;latest
spender_postmortem_labor_toxikologie;ops_test;True;feature;latest
spender_postmortem_labor_toxikologie;opu_test;False;feature
spender_postmortem_labor_toxikologie;result_date;True;metadata;latest
spender_postmortem_labor_toxikologie;sampling_date;True;metadata;latest
spender_postmortem_labor_toxikologie;sampling_tissue;True;metadata;latest
spender_postmortem_labor_urin;bacteria_in_urine;True;feature;latest
spender_postmortem_labor_urin;communicated_date;True;metadata;latest
spender_postmortem_labor_urin;epithelium_in_urine;True;feature;latest
spender_postmortem_labor_urin;erythocytes_in_urine;True;feature;latest
spender_postmortem_labor_urin;examination_date;True;metadata;latest
spender_postmortem_labor_urin;glucose_in_urine;True;feature;latest
spender_postmortem_labor_urin;hemoglobin_in_urine;True;feature;latest
spender_postmortem_labor_urin;ketone_in_urine;True;feature;latest
spender_postmortem_labor_urin;leukocytes_in_urine;True;feature;latest
spender_postmortem_labor_urin;nitrite_in_urine;True;feature;latest
spender_postmortem_labor_urin;protein_in_urine;True;feature;latest
spender_postmortem_labor_urin;result_date;True;metadata;latest
spender_postmortem_labor_urin;sampling_date;True;metadata;latest
spender_postmortem_labor_urin;sampling_tissue;True;metadata;latest
